english,russian
marzipan,марципан
mascara,тушь
mascot,талисман
masculine,мужской
maskable,маскируемый
masochism,мазохизм
masonic,масонский
masquerader,имитатор
massachusetts,штт)массачусетс
masseur,массажист
massive,огромный
mast,мачта
masterly,мастерской
mastermind,задумывать
masterpiece,шедевр
masthead,шапка
masticate,жевать
mastiff,дог
masturbate,мастурбировать
matchless,несравненный
matchmaker,сваха
materialism,материализм
materialize,осуществляться
materially,значительно
maternal,материнский
maternity,материнство
math,математический
mathematical,математический
mathematically,математически
mathematician,математик
mathematics,математика
matin,заутреня
mating,спаривание
matins,заутреня
matriarch,мать
matrice,матрица
matricide,матереубийство
matriculate,зачисляться
matrimony,супружество
matron,матрона
matter,материал
mattock,мотыга
mattress,матрас
maturation,созревание
maturity,завершенность
matutinal,утренний
maudlin,слезливый
maui,мауи
maul,кувалда
mauser,маузер
mausoleum,мавзолей
mauve,лиловый
mawkish,слащавый
maxim,принцип
maximal,максимальный
maximin,максимин
maximization,максимизация
maxims,принцип
maxterm,макситерм
mayfly,поденка
mayhem,хаос
mayonnaise,майонез
mayor,мэр
maze,лабиринт
mazurka,мазурка
mbyte,мбайт
mcdonalds,Ймакдональдс
mci,#эм-си-ай
mcimail,Йэм-си-ай-мейл
mcorp,Й
meadow,луг
meadowsweet,таволга
meager,скудный
meal,еда
mealy,мучнистый
meander,извиваться
meaningful,значимый
meaningless,бессмысленный
meanness,низость
measles,корь
measly,ничтожный
measurement,измерение
meatballs,тефтели
meathead,олух
meaty,мясистый
mecca,мекка
mechanic,механик
mechanics,механика
mechanism,механизм
mechanize,автоматизировать
mechanotherapy,механотерапия
med,#мед
medal,медаль
medallion,медальон
medallist,медалист
meddle,вмешиваться
media,носитель
mediaeval,средневековый
median,медиана
mediation,посредничество
mediator,посредник
medical,медицинский
medication,медикамент
medicine,лекарство
medieval,средневековый
mediocre,посредственный
mediocrity,посредственность
meditate,размышлять
meditated,размышлять
meditating,размышлять
meditation,медитация
mediterranean,средиземноморский
medium-term,среднесрочный
medlar,мушмула
medley,мешанина
medusa,медуза
meek,смиренный
meetings,встр)собрание
meg,#мег
mega,мега
megabit,мегабит
megacell,мегаячейка
megacycle,мегацикл
megaphone,мегафон
megaton,мегатонна
megs,#Мбайт
melancholia,меланхолия
melange,смешение
melanin,меланин
melbourne,мельбурн
meliorate,улучшать
melioration,улучшение
melissa,мелисса
mellifluous,медоточивый
melodic,мелодичный
melodious,мелодичный
melodrama,мелодрама
melody,мелодия
melon,дыня
members,участник
membership,членство
membrane,мембрана
memento,сувенир
memo,#мемо
memorable,памятный
memoranda,докм)меморандум
memorandum,докм)меморандум
memorial,мемориальный
memorialize,увековечивать
memorize,запоминать
memorized,запоминать
memorizing,запоминать
menagerie,зверинец
mendacious,лживый
mendacity,лживость
mendelevium,менделевий
menial,черный
meningitis,менингит
menopause,климактерий
mens,мужской
menshevik,меньшевик
menstruation,менструация
mental,умственный
mentality,интеллект
mentally,умственно
mentor,наставник
menu,инф)меню
mercantile,коммерческий
mercedes,мерседес
merchandised,торговать
merchandiser,товаровед
merchandising,торговать
merchandize,товар
merchantman,торговец
merciful,милосердный
merciless,беспощадный
mercilessly,беспощадно
mercurial,ртутный
mercy,милосердие
merely,просто
meretricious,показной
merganser,утка
meridian,меридиан
meringue,безе
merino,меринос
meritorious,достойный
merits,достоинство
mermaid,русалка
merrily,весело
merriment,веселье
merry,веселый
merrymaker,весельчак
mesa,мезаструктура
mesmerism,месмеризм
meson,мезон
mesozoic,мезозойский
mesquit,бухарник
mesquite,бухарник
messenger,посыльный
messiah,мессия
messy,неряха
mestizo,метис
meta,мета
metabolic,метаболический
metabolism,метаболизм
metabolities,метаболит
metabolization,метаболизация
metacarpus,пясть
metacharacter,метасимвол
metacrilate,метакриловый
metadata,метаданные
metafile,метафайл
metainference,метавывод
metal,мех)металл
metalanguage,метаязык
metalinguistic,металингвистический
metallic,металлический
metalliferous,металлоносный
metallography,металлография
metalloid,неметалл
metallurgic,мех)металлургический
metallurgical,мех)металлургический
metallurgist,металлург
metallurgy,мех)металлургия
metalwork,мех)металлообработка
metalworker,металлург
metalworking,мех)металлообработка
metamorphosis,метаморфозы
metanotion,метапонятие
metaphoric,метафорический
metaphorical,метафорический
metaphysical,метафизический
metaphysics,метафизика
metaproduction,метапродукция
metaprogram,метапрограмма
metarule,метаправило
metastability,метастабильность
metastable,метастабильный
metastasis,метастазы
metasymbol,метасимвол
metasystem,метасистема
metatheory,метатеория
mete,распределять
meteor,метеор
meteoric,метеорный
meteorite,метеорит
meteorology,метеорология
methane,метан
method,метод
methodical,методический
methodics,методика
methodism,методизм
methodist,методист
methodize,систематизировать
methodless,бессистемный
methodology,методология
methyl,метил
methylene,метилен
meticulous,аккуратный
meticulously,тщательно
metre,метр
metrics,метрика
metro,метро
metrological,метрологический
metrology,метрология
metronome,метроном
metropolis,метрополис
mettle,выдержка
mexico,мексико
mezzanine,мезанин
mfg,#пр-о
mg,#мг
mgm,#рук-во
mgmt,#рук-во
mgt,#упр
mhz,#мгц
miaow,мяукать
miasma,миазм
mica,слюда
mice,мышь
michael,майкл
micro,микро
microbe,микроб
microbial,микробный
microbiocenosis,микробиоценоз
microbiology,микробиология
microchip,микрокристалл
microcircuit,микросхема
microcode,микропрограмма
microcoding,микропрограммированние
microcopy,микрофильм
microcosm,микрокосм
microdiagnostics,микродиагностика
microdiode,микродиод
microelectronics,микроэлектроника
microenvironment,микросреда
microfiche,микрофиша
microfolio,микроформа
microform,микроформа
micrographics,микрографика
microimage,микроизображение
microm,микром
micrometer,микрометр
microminiaturization,микроминиатюризация
micromodule,микромодуль
micron,микрон
microorganism,микроорганизм
microperipherals,микропериферия
microphone,микрофон
micropositioning,микропозиционирование
microscope,микроскоп
microsecond,микросекунда
microwave,микроволновой
mid,средний
midas,мидас
midatlantic,среднеатлантический
midday,полдень
middleman,посредник
midge,комар
midget,миниатюрный
midnight,полночь
midship,авиа)морс)мидель
midshipman,курсант
midst,среди
midwestern,среднезападный
midwife,акушерка
mien,мина
mig,миг
mightily,могущественно
mighty,могущественный
mignonette,резеда
migraine,мигрень
migratory,мигрирующий
migs,миг
milch,молочный
mild,мягкий
mildew,плесень
mildly,слегка
mildness,мягкость
mile,миля
mileage,расстояние
militancy,воинственность
militarism,милитаризм
militarize,милитаризировать
military,воен)военный
militerization,милитаризация
militia,союз)милиция
milkmaid,доярка
milkman,дояр
milksop,тряпка
milky,млечный
mill-stone,жернов
millennia,тысячелетие
millennium,тысячелетие
millepede,многоножка
miller,мельник
millet,пшено
milliard,миллиард
milligram,миллиграмм
milligramme,миллиграмм
milliliter,миллилитр
millimeter,миллиметр
millimicrosecond,наносекунда
milliner,модистка
millionaire,миллионер
millionth,миллионный
millipede,многоножка
millisecond,миллисекунда
millstone,жернов
milquetoast,тихоня
milt,молока
mime,пантомима
mimeograph,мимеограф
mimosa,мимоза
minaret,минарет
mince,крошить
mincemeat,фарш
mindful,внимательный
mindless,бессмысленный
minds,ум
mindset,настрой
minelayer,воор)заградитель
miner,геол)шахтер
mineralogy,геол)минералогия
minesweeper,воор)тральщик
mingle,смешиваться
mini,мини
miniature,миниатюрный
miniaturization,миниатюризация
minidisk,мини-диск
minidisket,мини-диск
minification,миниатюризация
minima,минимум
minimal,минимальный
minimas,минимум
minimax,минимакс
minimin,минимин
minimization,минимизация
minimizer,минимизатор
minion,баловень
minis,мини
ministerial,министерский
ministry,министерство
minmax,минимакс
minnow,гольян
minor,незначительный
minors,несовершеннолетний
mins,#мин
minstrel,менестрель
mintage,чеканка
minterm,минитерм
minuend,уменьшаемое
minuet,менуэт
minus,минус
minuscule,крохотный
minutiae,мелочь
miracle,чудо
miraculous,чудесный
miraculously,чудом
mirage,мираж
mirk,мрак
mirth,веселье
misadventure,злоключение
misalignment,рассогласование
misanthrope,мизантроп
misapprehension,заблуждение
misappropriate,расхищать
misappropriation,растрата
misbegotten,внебрачный
miscarriage,выкидыш
mischance,неудача
mischief,вред
misconception,заблуждение
miscreant,злодей
misdeed,проступок
misdemeanor,проступок
miser,скупец
misfortune,неудача
misgiving,опасение
misguided,ошибочный
mishap,происшествие
mishmash,мешанина
misinform,дезинформировать
misinformation,дезинформация
mislay,затерять
mismanagement,бесхозяйственность
mismatch,несовпадение
mismatched,несовпадающий
mismatching,рассогласование
misogynist,женоненавистник
misphasing,расфазирование
misplace,терять
misprint,опечатка
misrepresent,искажать
misrepresentation,искажение
miss,мисс
missequencing,разупорядочение
misshapen,уродливый
mississippi,миссиссиппи
missive,послание
missouri,штт)миссури
misspend,растрачивать
misstate,искажать
misstep,ошибка
mist,туман
mistakenly,ошибочно
mister,господин
mistiness,туманность
mistletoe,омела
mistress,госпожа
mistrust,недоверие
mistrustful,недоверчивый
misty,туманный
mitigate,смягчать
mitosis,митоз
mitsubishi,мицубиси
mitten,варежка
mixed,смешивать
mixer,миксер
mixture,смесь
mnemonics,мнемоника
mobile,мобильный
mobility,мобильность
mobilization,мобилизация
mobilize,мобилизовать
mobilizing,мобилизовать
mobster,гангстер
mocha,мокко
mockery,издевательство
mockingbird,пересмешник
mockup,макет
mod,модуль
modal,модальный
modality,модальность
modeless,независимый
modeling,моделирование
modeller,модельщик
modem,модем
moderately,умеренно
moderation,умеренность
moderator,председатель
modern,современный
modernism,модернизм
modernist,модернист
modernization,модернизация
modernize,модернизировать
modest,скромный
modesty,скромность
modi,способ
modicum,чуточка
modifiability,модифицируемость
modifiable,модифицируемый
modification,модификация
modifier,модификатор
modify,модифицировать
modula,модула
modular,модульный
modularity,модульность
modularization,модуляризация
modulate,модулировать
modulation,модуляция
modulator,модулятор
modulus,модуль
modus,способ
mogul,могол
mohammedan,магометанин
mohawk,могаук
moist,влажный
moisten,увлажнять
moisture,влажность
molasses,патока
molder,рассыпаться
moldy,заплесневелый
molecular,молекулярный
molecule,молекула
moline,молин
mollify,смягчать
mollusk,моллюск
molt,линять
molten,расплавленный
molybdic,молибденовый
mom,мама
moment,момент
momenta,момент
momentary,моментальный
momently,ежеминутно
momentous,важный
mommy,мама
monad,монада
monadic,унарный
monarch,монарх
monarchist,монархист
monarchy,монархия
monastery,монастырь
monastic,монашеский
monetary,денежный
money-box,копилка
moneychanger,меняла
moneyed,богатый
moneylender,ростовщик
moneymaking,доходный
mongolia,монголия
mongolian,монгольский
mongoose,мангуста
mongrel,помесь
monies,деньги
monism,монизм
monitoring,проверять
monk,монах
monkey,обезьяна
monkhood,монашество
monkshood,аконит
mono,моно
monoboard,моноплатный
monocarbonic,моноуглеродистый
monochroic,монохроический
monochromatic,монохроматический
monochrome,монохромный
monocle,монокль
monocode,монокод
monogamy,моногамия
monogram,монограмма
monograph,монография
monoid,моноид
monolaurate,монолаурат
monolith,монолит
monologue,монолог
monomer,мономер
monomial,одночлен
mononucleosis,мононуклеоз
monooxidases,монооксидаза
monoplane,моноплан
monopolist,монополист
monopolistic,монополистический
monopolize,монополизировать
monoscope,моноскоп
monospace,интервал
monostable,моностабильный
monosyllabic,односложный
monotheism,монотеизм
monotone,монотонный
monotonic,монотонный
monotonicity,монотонность
monotype,монотип
monsieur,мосье
monsignor,монсеньор
monsoon,муссон
monster,чудовище
monstrosity,чудовищность
monstrous,чудовищный
montage,монтаж
monte,Ймонте
montevideo,монтевидео
montreal,монреаль
monument,памятник
monumental,монументальный
moocher,попрошайка
mood,настроение
moody,капризный
moorage,причал
moorish,мавританский
moot,спорный
mope,хандрить
moraine,морена
moralist,моралист
morality,мораль
moralize,морализовать
morally,морально
morass,болото
moratorium,мораторий
moray,мурена
morel,сморчок
mores,нрав
morganatic,морганатический
morgue,морг
moribund,умирающий
mormon,мормон
moron,идиот
morose,угрюмый
morpheme,морфема
morphine,морфий
morpho,морфо
morphologic,морфологический
morphological,морфологический
morphology,морфология
morsel,кусочек
mortal,смертельный
mortally,смертельно
mortgagee,залогодержатель
mortify,унижать
mortise,гнездо
mosque,мечеть
mosquito,комар
moss,мох
mossy,мшистый
mote,пылинка
motel,мотель
mothball,нафталин
mother-hood,материнство
mother-of-pearl,перламутровый
motherhood,материнство
motherland,родина
motherly,материнский
motif,мотив
motion-picture,кино
motionless,неподвижный
motivation,мотивация
motive,мотив
motley,пестрый
motor,двигатель
motor-bicycle,мотоцикл
motor-bus,автобус
motor-cycle,мотоцикл
motorbike,мопед
motorboat,катер
motorbus,автобус
motorcade,кортеж
motorcar,автомобиль
motorcycle,мотоцикл
motorist,автомобилист
motorized,моторизованный
motorman,машинист
mottle,испещрять
mouldboard,отвал
moulds,плесень
moult,линять
mountaineer,альпинист
mountainous,гористый
mountaintop,вершина
mountebank,знахарь
mourn,оплакивать
mourner,скорбящий
mournful,траурный
mouse,мышь
mousetrap,мышеловка
mousse,мусс
moustache,ус
mousy,мышиный
mouthful,глоток
mouthpiece,мундштук
mouthwash,полоскание
movable,подвижный
movables,движимость
moveable,перемещаемый
movement,перемещение
mover,перевозчик
movies,кино
mow,косить
moxie,дерзость
mozambique,мозамбик
mr,м-р
mrs,м-с
ms,мс
msc,пр
msdos,Йинф)
msds,господа
mtn,г
muck,грязь
mucous,слизистый
mucus,слизь
mud,грязь
mud-guard,крыло
muddy,грязный
mudguard,брызговик
mudslide,оползень
mudslinger,клеветник
muezzin,муэдзин
muffin,булка
mufti,штатское
mugger,налетчик
muggy,сырой
mulatto,мулат
mulberry,шелковица
mulch,мульча
mule,мул
mull,обдумывать
mullet,кефаль
multi,много
multiaddress,многоадресный
multiaperture,многодырочный
multiattribute,многопризначный
multibutton,многоклавишный
multibyte,многобайтовый
multicabinet,многостоечный
multicast,групповой
multichannel,многоканальный
multicircuit,многоконтурный
multicolored,многоцветный
multidigit,многоразрядный
multidimensional,многомерный
multidisciplinary,многопротокольный
multidomain,многодоменный
multidrop,многоточечный
multifaceted,разносторонний
multifarious,разнообразный
multiform,многообразный
multifunctional,многофункциональный
multigate,многовентильный
multigraph,мультиграф
multiinput,многовходовый
multilateral,многосторонний
multilayer,многоуровневый
multilevel,многоуровневый
multilinear,многолинейный
multilingual,многоязычный
multilist,мультисписок
multilogic,многофункциональный
multiloop,многоконтурный
multimedia,мультимедиа
multimethodological,многофункциональный
multimillionaire,мультимиллионер
multimode,многорежимный
multinational,многонациональный
multipass,многопроходной
multiplecolumn,многоколоночный
multiples,множество
multiplex,мультиплексный
multiplexed,мультиплексный
multiplexer,мультиплексор
multiplexing,мультиплексирование
multiplexor,мультиплексор
multiplicand,сомножитель
multiplication,умножение
multiplicity,множественность
multiplier,множитель
multiply,умножать
multipoint,многоточечный
multiport,многопортовый
multipriority,многоприоритетность
multiprotocol,многопротокольный
multipurpose,универсальный
multisequencing,распараллеливание
multistable,мультиустойчивый
multistaged,многоуровневый
multistep,многоступенчатый
multistoried,многоэтажный
multistream,многоканальный
multitapped,многоотводный
multiterm,мультитерм
multiterminal,многотерминальный
multitude,множество
multiuser,многопользовательский
multivalued,многозначный
multivariable,многопараметрический
multivariate,многомерный
multivector,много-векторный
multivenous,мультивенный
multiversion,многовариантный
multivibrator,мультивибратор
multivolume,многотомный
multiway,многоканальный
mummy,мумия
mumps,свинка
munch,чавкать
mundane,светский
mung,портить
munge,портить
munich,мюнхен
municipal,муниципальный
municipality,муниципалитет
municipalize,муниципализировать
munificence,щедрость
munificent,щедрый
munition,снаряжение
murderer,убийца
murderous,убийственный
murky,мрачный
murrain,падеж
murre,кайра
muscat,мускат
muscatel,мускат
muscular,мускульный
musculature,мускулатура
museum,музей
mush,каша
musician,музыкант
musicology,музыковедение
muskeg,болото
musket,мушкет
muskrat,ондатра
muss,растрепать
mussel,мидия
mustache,ус
mustang,мустанг
mustard,горчица
musty,затхлый
mutate,видоизменять
mutation,мутация
muteness,немота
mutilate,калечить
mutineer,бунтовщик
mutinous,бунтарский
mutiny,мятеж
mutter,бормотать
muttered,бормотать
mutual,взаимный
mutually,взаимно
muzhik,мужик
myopia,миопия
myriapod,многоножка
myrrh,мирра
mysterious,загадочный
mystery,тайна
mysticism,мистика
mystify,озадачивать
mystique,таинственность
myth,миф
mythology,мифология
nadir,надир
naiad,наяда
naive,наивный
naked,обнаженный
nakedness,нагота
nameless,безымянный
nameplate,дощечка
namesake,тезка
namibia,намибия
nanny,няня
nanosecond,наносекунда
napalm,напалм
nape,загривок
naphthalene,нафталин
naphthol,нафтол
napkin,салфетка
naples,неаполь
napoleon,наполеон
naptha,лигроин
narcissus,нарцисс
narcotic,наркотик
nard,нард
narrate,рассказывать
narration,повествование
narrator,комментатор
narrow-chested,узкогрудый
narrowly,подробно
narrowness,узкополосность
narwhal,нарвал
nasa,Й
nasal,носовой
nascent,молодой
nasturtium,настурция
nasty,противный
natality,рождаемость
nation,страна
national,национальный
nationalist,националист
nationalistic,националистический
nationality,гражданство
nationalization,национализация
nationalize,национализировать
nationism,национализм
native,исконный
nativity,рождение
nato,Й
natty,нарядный
naturalism,натурализм
naturalist,натуралист
naturalization,натурализация
naturalize,натурализовывать
naturalizing,натурализовывать
naturally,естественно
naughty,непослушный
nausea,тошнота
nauseous,тошнотворный
nautical,морской
nave,корабль
navel,пупок
navigability,судоходность
navigable,судоходный
navigate,управлять
navigating,управлять
navigational,навигационный
navigator,навигатор
nay,нет
nazareth,назарет
nazism,нацизм
ndearment,ласка
neanderthal,неандертальский
nearby,соседний
nearest,ближайший
nearly,почти
nearness,близость
nearsighted,близорукий
nearsightedness,близорукость
neat,хороший
neatly,аккуратно
neatness,аккуратность
nebraska,штт)небраска
nebula,туманность
nebulous,смутный
necessarily,обязательно
necessitate,требовать
necessity,необходимость
neck,шея
necklace,ожерелье
neckline,вырез
necktie,галстук
necrosis,некроз
nectar,нектар
nederland,нидерланды
nee,урожденный
needful,необходимый
needing,требовать
needle,игла
needless,ненужный
needlessly,бесполезно
needlework,шитье
needleworker,рукодельница
needy,нуждающийся
nefarious,гнусный
neg,отрицательный
negate,отрицать
negater,инвертор
negation,отрицание
negativism,негативизм
negativity,отрицательность
negator,инвертор
negatory,отрицательный
negentropy,негэнтропия
neglectful,небрежный
negligee,неглиже
negligence,халатность
negligent,небрежный
negligible,незначительный
negotiation,согласование
negotiations,переговор
negotiator,посредник
negroid,негроидный
neigh,ржать
neighbor,сосед
neighborly,добросовестный
neighbourhood,окрестность
nemesis,немезида
neoclassical,неоклассический
neoclassicism,неоклассицизм
neodymium,неодимий
neolithic,неолитический
neologism,неологизм
neophyte,неофит
neoplasm,неоплазма
neoteric,современный
nepal,непал
nephew,племянник
nephritis,нефрит
nepotism,кумовство
neptune,нептун
neptunium,нептуний
nerd,умник
nervious,нервный
nervous,нервный
nervously,нервно
nervousness,нервозность
nestle,ютиться
nestling,птенец
nether,нижний
netherland,нидерланды
netlike,сетчатый
netting,сетка
networked,сетевой
neural,нервный
neuralgia,невралгия
neuralgic,невралгический
neuritis,неврит
neuro,нейро
neurological,неврологический
neurologist,невролог
neurology,неврология
neuron,нейрон
neurosis,невроз
neurosurgeon,нейрохирург
neurosurgery,нейрохирургия
neurotic,невротический
neutral,нейтральный
neutrality,нейтралитет
neutralization,нейтрализация
neutralize,нейтрализовать
neva,нева
nevada,штт)невада
never,никогда
new-comer,новоприбывший
newborn,новорожденный
newcom,новичок
newcomer,новинка
newely,вновь
newfoundland,ньюфаундленд
newly,вновь
newlyweds,молодожен
newness,новизна
news,новость
news-agent,газетчик
news-boy,газетчик-разносчик
news-paper,газета
news-reel,киножурнал
newsboy,газетчик
newsman,журналист
newsreel,кинохроника
newt,тритон
newton,ньютон
niagara,ниагара
nib,кончик
nicaragua,никарагуа
nicely,хорошо
nicety,точность
niche,ниша
nickname,прозвище
niece,племянница
nifty,модный
nigeria,нигерия
niggardly,скупой
nigger,негр
niggling,мелочный
nigh,близко
nighs,ржание
nightclub,кабак
nightfall,сумерки
nightingale,соловей
nightmare,кошмар
nightshade,паслен
nightstick,дубинка
nihilism,нигилизм
nihilist,нигилист
nihilistic,нигилистический
nile,нил
nimble,проворный
nimbus,нимб
nincompoop,простофиля
nineteenteenth,девятнадцатый
nineteenth,девятнадцатый
ninetieth,девяностый
ninny,дуралей
ninth,девятый
niobium,ниобий
nipper,клешня
nipple,ниппель
nippy,холодненький
nirvana,нирвана
nit,гнида
niter,селитра
nitrate,нитрат
nitre,селитра
nitric,азотный
nitrite,нитрит
nitrogen,азот
nitroglycerin,нитроглицерин
nitroglycerine,нитроглицерин
nitrous,азотистый
nitwit,балбес
nixon,никсон
nizhniy,нижний
noah,ной
noahcic,ноев
nob,голова
nobelium,нобелий
nobility,благородство
noble,благородный
nobleman,дворянин
nobody,никто
nocturnal,ночной
nocturne,ноктюрн
nodde,кивать
nodding,кивать
nodes,узел
nodule,узелок
noel,рождество
noggin,башка
noise,шум
noiseless,бесшумный
noiseproof,помехозащищенный
noisome,вредный
noisy,шумный
nomad,кочевник
nomenclature,номенклатура
nominative,именительный
nominee,кандидат
non,не
non-alcoholic,безалкогольный
non-committal,уклончивый
non-conductor,непроводник
non-current,устаревший
non-existence,небытие
non-party,беспартийный
non-productive,непроизводственный
nonaggression,ненападение
nonaging,нестареющий
nonalcohlic,безалкогольный
nonaligned,неприсоединившийся
nonary,девятиричный
nonauthorized,несанкционированный
nonbeliever,неверующий
nonbelligerent,невоюющий
nonblank,непустой
nonbreakable,небьющийся
noncancerogenic,неканцерогенный
nonchalance,беззаботность
nonchalant,беззаботный
noncombatant,нестроевой
noncommittal,уклончивый
nonconductor,непроводник
noncontact,бесконтактный
noncontagious,незаразный
nondescript,неприметный
nondestructive,неразрушительный
nondeterminism,недетерминизм
nondimensional,безразмерный
nondisclosure,неразглашение
nondrinker,непьющий
nondurable,кратковременный
nondural,кратковременный
nonequivalence,неэквивалентность
nonerasable,нестираемый
nonessential,несущественный
nonexclusive,неисключительный
nonexistence,небытие
nonexistent,несуществующий
nonfarm,нефермерский
nonferrous,цветной
nonflammable,невоспламенимый
nonformatted,неформатированный
nonfulfillment,невыполнение
noninterference,невмешательство
nonintervention,невмешательство
nonlinear,нелинейный
nonmaskable,немаскируемый
nonmonotonic,немонотонный
nonnumerical,нечисленный
nonpathogenic,непатогенный
nonpayment,неуплата
nonperishable,непортящийся
nonprinting,непечатаемый
nonprocedural,непроцедурный
nonproductive,непроивозительный
nonprofit,некоммерческий
nonprogrammable,непрограммируемый
nonproliferation,нераспространение
nonrecognition,непризнание
nonrecurring,нерегулярный
nonrecursive,нерекурсивный
nonreproducing,невоспроизводимый
nonresident,нерезидентный
nonsense,бессмыслица
nonsensial,бессмысленный
nonsensical,глупый
nonsignificant,незначительный
nonsingularity,несингулярность
nonsmoker,некурящий
nonspread,специальный
nonstandard,нестандартный
nonsufficient,недостаточный
nonsusceptibility,невосприимчивость
nontoxic,нетоксичный
nonvolatile,энергонезависимый
nonvoting,неголосующий
nonworking,нерабочий
nonzero,ненулевой
noodle,макароны
noodlehead,башка
nook,закоулок
noon,полдень
noonday,полуденный
noose,петля
nor,ни
norator,норатор
normalcy,нормальность
normalization,нормализация
normalizer,нормализатор
normally,нормально
normandie,нормандия
norse,норманский
norseman,норманн
northeast,северо-восток
northeaster,норд-ост
northeasterly,северо-восточный
northerly,северный
northern,северный
northerner,северянин
northrop,нортроп
northwester,норд-вест
northwesterly,северо-западный
northwestern,северо-западный
norton,Йинф)
norway,норвегия
nose-dive,пикировка
nosegay,букетик
nosey,любопытный
nospread,специальный
nostalgia,ностальгия
nostalgic,ностальгический
nostril,ноздря
nostro,ностро
nosy,любопытный
notable,примечательный
notably,особенно
notarial,нотариальный
notarize,заверять
notary,нотариус
notation,нотация
notational,символьный
notch,вырез
notching,перфорирование
note-worthy,достопримечательный
noteholder,векселедержатель
nothing,ничто
noticeable,заметный
noticeably,заметно
notification,докм)уведомление
notify,уведомлять
notion,понятие
notoriety,известность
notorious,известный
notorized,заверенный
notwithstanding,вопреки
nougat,нуга
noun,существительное
nourish,питать
nourishment,питание
nov,#нояб
novation,новация
novator,новатор
novelist,романист
novella,новелла
novelty,новизна
novenary,девятиричный
novice,новичок
now,теперь
nowaday,современный
noxious,вредный
nozzle,сопло
nth,энный
nuance,нюанс
nub,шишка
nuclear,ядерный
nudity,нагота
nugget,самородок
nuitrition,питание
null,недействительный
nullator,нуллатор
nullification,аннулирование
nullify,аннулировать
nullity,аннулирование
nullor,нуллор
num,номер
numberless,бесчисленный
numbness,онемение
numeral,цифра
numeric,числовой
numerical,цифровой
numerically,численно
numeroscope,нумероскоп
numerous,многочисленный
numismatic,нумизматический
numismatics,нумизматика
numskull,олух
nun,монахиня
nuncio,нунций
nuptial,брачный
nuptials,свадьба
nursed,нянчить
nursemaid,сиделка
nurture,лелеять
nurturing,лелеять
nutcracker,щелкунчик
nuthatch,поползень
nutlet,орешек
nutria,нутрия
nutrition,питание
nutritional,пищевой
nutritious,питательный
nutter,псих
nymph,нимфа
nymphomania,нимфомания
nymphomaniac,нимфоман
oaf,дурень
oakum,пакля
oar,весло
oarsman,гребец
oasis,оазис
oath,клятва
oatmeal,овсянка
oats,овес
obedient,послушный
obediently,послушно
obeisance,почтение
obelisk,обелиск
obese,тучный
obey,подчиняться
obeyed,подчиняться
obeying,подчиняться
obfuscate,затемнять
obituary,некролог
objected,возражать
objecting,возражать
objection,возражение
objectionable,нежелательный
objectivity,объективность
objectless,беспредметный
obligation,обязательство
obligator,должник
obligatory,обязательный
oblige,обязывать
obligee,кредитор
obligor,должник
oblique,косой
obliquely,косвенно
obliterate,уничтожить
obliteration,уничтожение
oblivion,забвение
oblong,продолговатый
obloquy,злословие
obnoxious,противный
oboe,гобой
obscene,непристойный
obscurant,обскурант
obscurity,неясность
obsequious,угодливый
observable,заметный
observance,соблюдение
observant,наблюдательный
observatory,астр)обсерватория
observer,наблюдатель
obsess,преследовать
obsession,одержимость
obsolete,устаревший
obsoloscent,устаревающий
obstacle,препятствие
obstetrician,акушер
obstetrics,акушерство
obstinate,упрямый
obstreperous,буйный
obstruct,затруднять
obstruction,преграда
obstructionism,обструкционизм
obtain,получать
obtainable,доступный
obtrude,навязывать
obverse,лицевой
obviate,избегать
obvious,очевидный
occam,оккам
occasion,случай
occelli,глазок
occellus,глазок
occlude,закупоривать
occlusal,закрытый
occlusion,закупорка
occult,таинственный
occultism,оккультизм
occupancy,размещение
occupant,жилец
occupational,профессиональный
occupies,занимать
occupy,занимать
occur,происходить
occurred,происходить
occurrence,случай
oceanographer,океанограф
oceanographic,океанографический
oceanographical,океанографический
oceanography,океанография
oceanology,океанология
ocelot,оцелот
ocher,охра
ocherous,охровый
ochre,охра
ochreous,охровый
oct,#окт
octad,октада
octagon,восьмиугольник
octahedron,восьмигранник
octal,восьмиричный
octave,октава
octavo,восьмушка
octet,октет
octonary,восьмеричный
octopus,осьминог
ocular,глазной
oculist,окулист
oddity,странность
oddly,странно
odds,разница
ode,ода
odious,одиозный
odometer,одометр
odontology,одонтология
odor,запах
odoriferous,душистый
odorous,душистый
odour,запах
odyssey,одиссея
oersted,элек)эрстед
oesophagus,пищевод
offal,требуха
offence,нарушение
offender,правонарушитель
offense,правонарушение
offensive,оскорбительный
offerer,оферент
officialdom,чиновничество
officially,официально
officials,представитель
officiate,председательствовать
officious,назойливый
offload,разгружать
offshoot,отросток
offspring,подчиненный
offstage,закулисный
often,часто
oftentimes,часто
ogive,огива
ogre,великан-людоед
oh,ох
ohio,штт)огайо
ohm,ом
ohms,ом
oho,ого
oilcan,масленка
oilcloth,клеенка
oiler,масленка
oily,масленый
ointment,мазь
okapi,окапи
okay,окей
oklahoma,штт)оклахома
okra,окра
old,старый
old-fashioned,старомодный
olden,давний
oldest,старший
oldster,старик
oleaginous,маслянистый
oleander,олеандр
olein,олеин
oleo,олео
oleomargarine,маргарин
oleophilic,олеофильный
olfactory,обонятельный
oligarch,олигарх
oligarchy,олигархия
